"Add To Risk Table",Category,"Risk Index","Hazard/RISK Statement","Risk Abbreviated Terms","Type Of Risk",Activity,"Common Risk","Specific Risk",Delete
Y,T,7460,"Sample id is written on ??consumable?? lid or barcode label "," ID recorded on lid/ barcode label","Instrument Risk",misuse,0,0,0
Y,T,7470,"??Consumable?? with damaged barcode is used","Damaged barcode on consumable","Instrument Risk",misuse,0,0,0
Y,T,7480,"??Consumable?? with damaged reaction tube is used","Damaged reaction tube","Instrument Risk",misuse,0,0,0
Y,T,7490,"Processed ??consumable?? is reused","Processed consumable reused","Instrument Risk",misuse,0,0,0
Y,T,7500,"Single-use disposable pipette is reused","Single-use pipette reused","Instrument Risk",misuse,0,0,0
Y,T,7510,"Test not started within 30 minutes of addition of sample to ??consumable??","Delay processing sample","Instrument Risk",,0,0,0
Y,T,7520,"Software/Antimicrobial reporting rules not followed","Improper Antimicrobial reporting ","Instrument Risk",,0,0,0
Y,R,3010,"Substantial change by manufacturer in reagent properties or system components cause clinical errors","Significant manuf. changes","Instrument Risk",result,1,0,0
Y,R,3020,"Cuvette path length is not entered properly for each new lot","Inappropriate cuvette path length","Instrument Risk",calibration,0,1,0
Y,R,3030,"Consumable or reagent is not available when needed","Reagent supply issues","Instrument Risk",,1,0,0
Y,R,3040,"??Consumable?? desiccant fails during storage","Failure of desiccant","Instrument Risk",storage,0,1,0
Y,R,3050,"??Consumable?? is stored improperly","Improper storage of consumable","Instrument Risk",storage,1,0,0
Y,R,3060,"??Consumable?? is used beyond manufacturer's expiration date","Consumable expired","Instrument Risk",storage,1,0,0
Y,R,3070,"??Consumable?? is used beyond the room temperature expiration date","RT expiration date exceeded","Instrument Risk",,0,0,0
Y,R,3080,"??Consumable?? is mishandled","Mishandled consumable","Instrument Risk",transfer,1,0,0
Y,T,3090,"Cuvette is not filled at a 45 degree angle","Improper angle when dosing cuvette","Instrument Risk",transfer,0,1,0
Y,T,3100,"Sample is forced into the ??consumable??","Forced sample","Instrument Risk",transfer,1,0,0
Y,R,3110,"??Consumable?? is underfilled or overfilled","Over/ underfilling of consumable","Instrument Risk",transfer,1,0,0
Y,S,3120,"Sample has bubbles in the cuvette light path","Sample has bubbles","Instrument Risk",transfer,0,1,0
Y,T,3130,"??Consumable?? is inserted into the ??consumable port?? with blood on the outside","Blood residue on outside of consumable","Instrument Risk",transfer,1,0,0
Y,T,3140,"Cuvette with bulging vent patch is inserted into the test chamber","Bulges in vent patch","Instrument Risk",transfer,0,1,0
Y,R,3150,"Syringe is removed from the ??consumable?? before inserting into the test chamber","Improper syringe removal","Instrument Risk",transfer,0,1,0
Y,R,3160,"??Consumable?? is reused","Consumable reused","Instrument Risk",misuse,1,0,0
Y,T,3170,"??LQC?? is not performed on everyday of pt testing","Missed ??lqc??","Instrument Risk",misuse,1,0,0
Y,T,3180,"??LQC?? is used which is not recommended by the manufacturer","??LQC?? not approved","Instrument Risk",misuse,0,1,0
Y,T,3190,"??LQC?? is used as a calibrator","??LQC?? used as calibrator","Instrument Risk",misuse,1,0,0
Y,R,3200,"??LQC?? is not properly refrigerated","Improper storage of ??lqc??","Instrument Risk",storage,1,0,0
Y,R,3210,"??LQC?? is used beyond the manufacturer's expiration date","Use of expired ??lqc??","Instrument Risk",storage,1,0,0
Y,R,3220,"??LQC?? is used beyond the room temperature expiration date","??LQC?? RT exp. exceeded","Instrument Risk",storage,1,0,0
Y,R,3230,"??LQC?? is not properly brought to room temperature before use","??LQC?? not at RT","Instrument Risk",transfer,1,0,0
Y,R,3240,"??LQC?? is improperly mixed","??LQC?? is improperly mixed","Instrument Risk",transfer,1,0,0
Y,T,3250,"??LQC?? results fall outside of established ranges","??LQC?? out-of-range","Instrument Risk",result,1,0,0
Y,T,3260,"??LQC?? limits not properly established ","Inappropriate ??lqc?? limits","Instrument Risk",result,1,0,0
Y,R,3270,"??CVC?? is used which is not recommended by the manufacturer","Use of non-recommended ??cvc??","Instrument Risk",misuse,1,0,0
Y,R,3280,"??CVC?? are not properly refrigerated","Inappropriate ??cvc?? storage","Instrument Risk",storage,1,0,0
Y,R,3290,"??CVC?? are used beyond the manufacturer's expiration date","??CVC?? expiration date exceeded","Instrument Risk",storage,1,0,0
Y,R,3300,"??CVC?? are used beyond the room temperature expiration date","??CVC?? RT exp. exceeded","Instrument Risk",storage,1,0,0
Y,R,3310,"??CVC?? are not brought to room temperature before use","??CVC?? not brought to RT","Instrument Risk",transfer,1,0,0
Y,R,3320,"??CVC?? improperly mixed","??CVC?? improperly mixed","Instrument Risk",transfer,1,0,0
Y,R,3330,"??CVC?? results fall outside of expected range","??CVC?? out-of-range","Instrument Risk",result,1,0,0
Y,T,3340,"??CVC?? do not verify the reportable range of ??instrument??","Reportable range not verified","Instrument Risk",misuse,1,0,0
Y,T,3350,"??EQC_int?? is not performed on every day of patient testing","??EQC_int?? not performed","Instrument Risk",,0,0,0
Y,T,3360,"??EQC_ext?? is not performed on every day of patient testing","??EQC_ext?? not performed ","Instrument Risk",misuse,0,1,0
Y,R,3370,"Optical quality control filter serial number does not match the instrument serial number","Incorrect Optical QC serial #","Instrument Risk",misuse,0,1,0
Y,T,3380,"Optical Quality Control results fall outside of expected values range","Optical QC out-of-range","Instrument Risk",result,0,1,0
Y,T,3390,"??EQC_ext?? results fall outside of expected value range","??EQC_ext?? out-of-range","Instrument Risk",result,1,0,0
Y,R,3400,"??Consumable?? was exposed to adverse conditions during shipment","Reagents compromised during shipment","Instrument Risk",storage,1,0,0
Y,T,3410,"??LQC?? lot or serial number is not properly entered","Improper ??lqc?? identifier","Instrument Risk",,0,1,0
Y,T,3420,"Cross contamination of ??LQC?? occurs with either control materials or patient samples","Cross contamination: QC and Pt samples","Instrument Risk",,0,1,0
Y,R,3430,"??EQC_ext?? is not stored properly","??EQC_ext?? improperly stored","Instrument Risk",,0,1,0
Y,R,3440,"Reagent degradation impacts accuracy of patient results","Reagent degradation","Instrument Risk",,1,0,0
Y,R,3450,"??Consumable?? must be flat when performing test","??Consumable?? not kept flat during use","Instrument Risk",,0,0,0
Y,R,3460,"During dispensing of the extraction reagent, dropper tip touches card","Contamination from dropper tip","Instrument Risk",,0,0,0
Y,R,3470,"The sample swab shaft is not rotated before closing the ??consumable??","Failure to rotate swab","Instrument Risk",misuse,0,0,0
Y,R,3480,"Results are not interpreted for ??test?? promptly at 15 minutes","Results not interpreted at 15 mins","Instrument Risk",result,0,0,0
Y,R,3490,"Test card is not maintained in sealed foil pouch until just before use","Test cards not stored in foil pouches","Instrument Risk",misuse,0,0,0
Y,R,3500,"Test card is used even if foil pouch is damage or opened","Foil pouch damage","Instrument Risk",misuse,0,0,0
Y,R,3510,"??Test?? components are not discarded as biohazardous waste","Improper biohazardous disposal","Instrument Risk",,0,0,0
Y,R,3520,"??EQC_int?? not recorded for each run","QC not recorded","Instrument Risk",,0,0,0
Y,R,3530,"??LQC?? not properly frozen","Improper storage temp of QC","Instrument Risk",storage,0,0,0
Y,R,3540,"??LQC?? used beyond refrigerated expiration date (60 days)","Use of expired QC","Instrument Risk",storage,0,0,0
Y,R,3550,"??Test?? not stored per manufacturer's instructions at 2-30°C","Test kit improperly stored","Instrument Risk",storage,0,0,0
Y,R,3560,"??Test?? is used beyond manufacturer's expiration date","Use of outdated ??Test??","Instrument Risk",misuse,0,0,0
N,R,3570,"??Device?? components are not at room temperature before use","Test used at improper temp","Instrument Risk",storage,0,0,0
Y,R,3580,"??Device?? not at room temperature prior to performing test","Improper test temp equil","Instrument Risk",misuse,0,0,0
Y,R,3590,"??Test?? reagent pellet is not verified as visible in the bottom of the reaction tube prior to performing test","Reagent is not verified","Instrument Risk",misuse,0,0,0
Y,R,3600,"Excessive force is applied to components of the ??test?? during insertion into ID NOW instrument","Excessive force applied","Instrument Risk",misuse,0,0,0
Y,R,3610,"??Test?? control swabs are not run with each new shipment","Improper QC frequency","Instrument Risk","quality control",0,0,0
Y,R,3620,"??LQC?? material is not handled as potentially infectious","QC not treated as biohazard","Instrument Risk",handling,0,0,0
Y,R,3630,"??LQC?? material is not protected from light","QC not protected from light","Instrument Risk",storage,0,0,0
Y,R,3670,"??LQC?? material is not checked for signs of deterioration","QC deterioration","Instrument Risk",storage,0,0,0
Y,R,3680,"??Calibrator?? not handled as potentially infectious","CAL not treated as biohazard","Instrument Risk",handling,0,0,0
Y,R,3690,"??Calibrator?? not protected from light","CAL is exposed to light","Instrument Risk",storage,0,0,0
Y,R,3700,"??Calibrator?? not properly frozen","Improper storage of calibrator","Instrument Risk",storage,0,0,0
Y,R,3710,"??Calibrator?? not properly refrigerated","Calibrator not properly refrigerated","Instrument Risk",storage,0,0,0
Y,R,3720,"??Calibrator?? used beyond manufacturer's expiration date","Used CAL  beyond expiry date","Instrument Risk",storage,0,0,0
Y,R,3730,"??Calibrator?? used beyond refrigerated expiration date (60 days)","Use of CAL beyond refrig expiry","Instrument Risk",storage,0,0,0
Y,R,3740,"??Calibrator?? not completely thawed before use","CAL insufficiently thawed","Instrument Risk",transfer,0,0,0
Y,R,3750,"??Calibrator?? not properly mixed","Calibrator improperly mixed","Instrument Risk",transfer,0,0,0
Y,R,3760,"Upon receipt, the unopened ??consumable?? is not inverted to ensure that reagent covers all sides of the bottles within the cartridge","Improper consumable mixing ","Instrument Risk",storage,0,0,0
Y,R,3770,"After ??consumable?? mixing, reagent is not placed upright for one hour before use to allow bubbles to dissipate","Reagent bubbles not dissipated ","Instrument Risk",storage,0,0,0
Y,R,3780,"When handling ??consumable?? ??test personnel?? do not change gloves that have been in contact with human serum or plasma","Contamination of gloves with serum/plasma","Instrument Risk",handling,0,0,0
Y,R,3790,"If ??consumable?? is removed from ??instrument?? the ??consumable?? is not properly stored with new replacement caps in upright position at 2-8 C","Improper offboard storage of ??consumable??","Instrument Risk",storage,0,0,0
Y,R,3800,"??Consumable?? is not inspected prior to use to ensure that there are no signs of leakage","Consumable leakage","Instrument Risk","quality control",0,0,0
Y,R,3810,"??LQC?? not processed with each batch of testing","Missed ??lqc?? for each batch","Instrument Risk","quality control",0,0,0
Y,R,3820,"??LQC?? not run with each new lot","Missed ??lqc?? with each new lot","Instrument Risk","quality control",0,0,0
Y,R,3830,"During dispensing of the extraction reagent, dropper tip touches card","Contamination of extraction reagent","Instrument Risk",storage,0,0,0
Y,R,3840,"??LQC?? is exposed to multiple freeze thaw cycles","Control freeze/thaw cycles","Instrument Risk",handling,0,0,0
Y,R,3850,"??LQC?? not mixed by vortexing","Control improperly mixed","Instrument Risk",handling,0,0,0
Y,R,3860,"??LQC?? not treated the same as unknown specimens","Control not treated as patient specimen","Instrument Risk",handling,0,0,0
Y,R,3870,"??Test?? components are not left at room temperature for 60 minutes before use","Improper temp of reagents","Instrument Risk",storage,0,1,0
Y,E,4010,"??Instrument?? is not used within expected temperature and humidity range","Temp and humidity issues","Instrument Risk",environment,1,0,0
Y,E,4020,"??Instrument?? is not properly ventilated or positioned away from obstructions","Improper ventilation of instrument","Instrument Risk",environment,0,0,0
Y,E,4030,"Noise affects ??test personnel?? concentration during testing","Audible distractions","Instrument Risk","human factors",1,0,0
Y,E,4040,"Poor lighting or glare affects data entry or result interpretation","Poor lighting/glare","Instrument Risk","human factors",1,0,0
Y,E,4050,"Workplace clutter affects ??test personnel?? concentration or test process","Workplace clutter","Instrument Risk","human factors",1,0,0
Y,E,4060,"Inadequate workspace affects ??test personnel?? concentration or test process","Inadequate workspace","Instrument Risk","human factors",1,0,0
Y,E,4070,"Personal devices affect ??test personnel?? concentration during testing","Distraction from personal devices","Instrument Risk",distraction,1,0,0
Y,E,4080,"Conversation affects ??test personnel?? concentration during testing","Distraction from personal conversations","Instrument Risk",distraction,1,0,0
Y,E,4090,"Short staffing affects ??test personnel?? concentration during testing","Short staffing","Instrument Risk",distraction,1,0,0
Y,E,4100,"Interruptions affects ??test personnel?? concentration during testing","Personnel interruptions","Instrument Risk",distraction,1,0,0
Y,E,4110,"Fibers, fluids, dust, or debris affect the test system","Fluids, dust, debris","Instrument Risk",,1,0,0
Y,E,4120,"Test system used outside manufacturer's requirements for altitude (barometric pressure)","Altitude effects","Instrument Risk",environment,1,0,0
Y,E,4130,"Improper reagent shipping temperature","Improper shipping temp. of reagent","Instrument Risk",environment,1,0,0
Y,E,4140,"Reagents damaged during shipment","Reagents damaged during shipment","Instrument Risk",environment,1,0,0
Y,E,4150,"Using this device near strong sources of electromagnetic radiation (for example, intentionally unprotected radio-electric sources), which could interfere with the operation of the equipment.","EMR interference","Instrument Risk",environment,0,1,0
Y,R,4160,"The bottle is not held vertically when dispensing the AST Indicator Solution","Improper storage of consumable","Instrument Risk",misuse,0,1,0
Y,R,4170,"Accession barcode labels affixed incorrectly to a BD Phoenix panel","Barcode procedure failure","Instrument Risk",misuse,0,1,0
Y,R,4180,"Organism suspensions were not prepared with the BD BBL CrystalSpec Nephelometer, the BD PhoenixSpec Nephelometer, or the BD Phoenix AP Instrument. ","Failure to follow proper procedures","Instrument Risk",misuse,0,1,0
Y,R,4190,"BD Phoenix panels were refrigerated or frozen. (i.e. not stored at room temperature)","Improper storage of  panels","Instrument Risk",misuse,0,1,0
Y,R,4200,"AST or ID Broth tubes not stored at 225 °C.","Improper storage of ??consumable??","Instrument Risk",misuse,0,1,0
Y,R,4210,"AST indicator solution is used when the dark blue color had changed from normal color.","Expired AST indicator solution","Instrument Risk",misuse,0,0,0
Y,E,4220,"The ??instrument?? is used outside of an operating environment that is 15°C to 30°C (50°F to 86°F)","Temperature excursions","Instrument Risk",environment,0,0,0
Y,E,4230,"The ??instrument?? is used outside of an operating environment that is 10% to 80% relative humidity (non-condensing)","Humidity excursions","Instrument Risk",environment,0,0,0
Y,E,4240,"When not in use, the ??instrument?? is not stored at temperature between 15°C to 30°C (50°F to 86°F)","Improper instrument storage temp","Instrument Risk",environment,0,0,0
Y,E,4250,"When not in use, the ??instrument?? is not stored between 10% to 80% relative humidity (non-condensing)","Improper instrument storage humidity","Instrument Risk",environment,0,0,0
Y,E,4260,"The ??instrument?? is not maintained on a clean, flat, level and stable surface within reach of an electrical outlet","Failure to perform test on level, stable surface","Instrument Risk",environment,0,0,0
Y,E,4270,"The ??instrument?? is placed in a location where air vents located on the back of the instrument are restricted","Blocked air vents","Instrument Risk",environment,0,0,0
Y,E,4280,"The ??instrument?? is placed in direct sunlight","Direct sunlight","Instrument Risk",environment,0,0,0
Y,E,4290,"Prior to use, the ??instrument?? is not allowed to equilibrate to room temperature for at least 30 minutes","Improper RT equil. of instrument","Instrument Risk",environment,0,0,0
Y,E,4300,"Results reported inappropriately after equipment failure, incubator malfunction, etc.","Equipment/incubator malfunctions","Instrument Risk",environment,0,0,0
Y,P,5010,"Unqualified or untrained ??test personnel?? perform patient testing","Improper Qualification/Training","Instrument Risk",operator,1,0,0
Y,P,5020,"??Test personnel?? are unaware of resources available for troubleshooting","Inadequate troubleshooting","Instrument Risk",operator,1,0,0
Y,P,5030,"??Test personnel?? fail to read the operator manual before operating the ??instrument??","Operator manual access","Instrument Risk",,0,1,0
Y,P,5040,"??Test personnel?? fail to follow the prompts for ??instrument?? ","Failure to follow instrument prompts","Instrument Risk",operation,1,0,0
Y,P,5050,"??Test personnel?? uses Shutting Down without authorization for the ??instrument?? ","Improper shut down","Instrument Risk",operation,0,1,0
Y,P,5060,"??Test personnel?? unplugs ??instrument?? to shut down instrument","Instrument is unplugged","Instrument Risk",operation,0,1,0
Y,P,5070,"??Test personnel?? fail to manually enter results that do not cross over to the interface","Failure to manually enter results","Instrument Risk",results,0,1,0
Y,P,5080,"??Test personnel?? do not repeat suspect results","Failure to repeat test ","Instrument Risk",results,1,0,0
Y,P,5090,"Unqualified ??test personnel?? perform patient testing","Testing by unqualified personnel","Instrument Risk",,0,0,0
Y,P,5100,"Untrained ??test personnel?? perform patient testing","Testing by untrained personnel","Instrument Risk",,0,0,0
Y,P,5110,"Failure of ??test personnel?? to run ??test?? control swabs prior to performing patient testing","Failure to run test control swabs","Instrument Risk",,0,0,0
Y,P,5120,"??Test personnel?? fail to adhere to manufacturer's guidelines for timing regarding reagent insertion and confirmation","Improper test timing","Instrument Risk",,0,0,0
Y,P,5130,"??Test personnel?? are not familiar with troubleshooting for ??instrument?? errors","Troubleshooting issues","Instrument Risk",,0,0,0
Y,P,5140,"??Instrument?? User Manual is not available to users","Limited access to User Manual","Instrument Risk",,0,0,0
Y,P,5150,"??Test personnel?? are not proficient at performing rapid lateral flow assays","Lack of ??test personnel?? proficiency","Instrument Risk",,0,0,0
Y,P,5160,"??Test personnel?? are not able to discern color to interpret test results","Color blindness","Instrument Risk",,0,0,0
Y,P,5170,"??Test personnel?? fail to correctly interpret results for ??test??","Inappropriate result Interpretation","Instrument Risk",,0,0,0
Y,P,5180,"??Test personnel?? fail to repeat ??test?? with invalid results","Failure to repeat invalid tests","Instrument Risk",,0,0,0
Y,P,5190,"??Test personnel?? run inappropriate specimen types for the assay","Inappropriate specimens","Instrument Risk",,0,0,0
Y,P,5200,"Laboratory gloves, laboratory coats and eye protection are not worn when handling samples and reagents","Inadequate PPE","Instrument Risk",operator,0,0,0
Y,P,5210,"??Test personnel?? fail to wash hands thoroughly after handling samples and kit reagents","Improper hand washing","Instrument Risk",operator,0,0,0
Y,P,5220,"??Test personnel?? fail to clean and disinfect all laboratory work surfaces with a 0.5% sodium hypochlorite prepared solution","Improper disinfection of work surfaces","Instrument Risk",operator,0,0,0
Y,P,5230,"??Test personnel?? fail to follow the proper procedures for ??test?? performance","Improper procedure","Instrument Risk",operator,0,0,0
Y,S,1910,"??Test?? is not performed within 15 minutes of arterial sample collection","Arterial samples tested within 15 min.","Instrument Risk",handling,0,1,0
Y,S,1920,"??Test?? is not performed within 5 minutes of capillary sample collection","Capillary samples tested within 5 min.","Instrument Risk",handling,0,1,0
Y,S,1930,"Insufficient sample volume","Insufficient sample volume","Instrument Risk",collection,0,1,0
Y,S,1940,"Repeat test of same sample","Repeat test of same sample","Instrument Risk",misuse,0,1,0
Y,P,5240,"Release of other CV/iQM results when pH, PO2 and PCO2 were not acceptable","QC review failures","Instrument Risk","quality control",0,1,0
Y,S,1950,"Sample not mixed well with 3-5 inversions","Improper mixing of samples","Instrument Risk",Handling,1,0,0
Y,S,1960,"Sample not mixed one more time for 15 sec before placing in ??instrument??","Improper sample introduction","Instrument Risk",Handling,1,0,0
Y,S,1970,"Urine sample testing after 24 hours at room temperature","Testing of expired RT samples","Instrument Risk",handling,1,0,0
Y,S,1980,"Urine sample tested after 14 days stored at 2-8° C","Testing of expired refrigerated samples","Instrument Risk",handling,1,0,0
Y,P,5250,"Releasing of test results when no lines are seen or just the Sample Line is seen","Disregard of internal controls","Instrument Risk",operator,1,0,0
Y,P,5260,"External Quality Controls frequency not performed as written in the IQCP risk assessment","Inappropriate freq running ext. QC","Instrument Risk",operator,1,0,0
Y,P,5270,"The urine specimen to be tested, did not completely","Short sample","Instrument Risk",operator,1,0,0
Y,P,1990,"Collecting of patient samples from unapproved patient categories","Off label sample collection","Instrument Risk",misuse,1,0,0
Y,S,5290,"Failure to ID organism isolates that may interfere with test results","Interfering organisms","Instrument Risk",handling,1,0,0
Y,S,5280,"Wrong preservative or transport media used for collection","Inappropriate preservative/transport media","Instrument Risk",handling,1,0,0
Y,P,5300,"Reporting of QC results as a patient sample","Reporting of QC results as a pt.sample","Instrument Risk",misuse,1,0,0
Y,P,5310,"Inappropriate amount of sample added ","Inappropriate sample volume","Instrument Risk",misuse,1,0,0
Y,P,5320,"Running a patient sample as a control or vice versa","Swapping of QC and patient samples","Instrument Risk",misuse,1,0,0
Y,P,5330,"Swab not properly inserted","Swab not properly inserted","Instrument Risk",misuse,1,0,0
Y,P,5340,"Testing Positive control as Negative control and vice versa","Swapping of positive/negative controls","Instrument Risk",misuse,1,0,0
Y,P,5350,"Did not apply external control material to Test Card","Missed external control application","Instrument Risk",misuse,1,0,0
Y,P,5360,"??Device?? not closed properly ","Device not closed properly","Instrument Risk",misuse,1,0,0
Y,P,5370,"Testing non-valid sample types","Testing non-valid sample types","Instrument Risk",misuse,1,0,0
Y,P,5380,"Capillary samples are not tested immediately","Delay testing capillary samples","Instrument Risk",handling,0,1,0
Y,P,5390,"EDTA Whole blood sample not tested ASAP","Delay testing EDTA Whole blood ","Instrument Risk",handling,0,1,0
Y,P,5400,"EDTA Whole blood sample tested after 3 days stored at 2 -30°C","Testing expired EDTA Whole blood ","Instrument Risk",handling,0,1,0
Y,S,5410,"Room temperature nasopharyngeal swab, or nasal wash/aspirate specimens stored in viral transport media or saline, are tested beyond 4 hours from time of collection","Testing expired pt.swabs","Instrument Risk",handling,0,1,0
Y,S,5420,"Refrigerated nasopharyngeal swab samples stored in viral transport media or saline are tested beyond 48 hours from sample collection","Testing expired room temp samples","Instrument Risk",handling,0,1,0
Y,S,5430,"Refrigerated nasal wash/aspirate samples stored in viral transport media or saline are tested beyond 24 hours from sample collection","Testing expired refrigerated samples","Instrument Risk",handling,0,1,0
Y,S,5440,"The BinaxNOW Strep A Card test was performed before inoculating culture plate with swab","Failure to inoculate culture plate","Instrument Risk",handling,0,1,0
Y,S,5450,"Throat swab samples stored in viral transport media or saline ","Throat swabs improperly stored","Instrument Risk",handling,0,1,0
Y,S,5460,"Refrigerated throat swabs are tested beyond 72 hours from sample collection","Testing expired samples","Instrument Risk",handling,0,1,0
Y,S,5470,"Throat swabs not placed into a dry test tube","Throat swabs handled inappropriately","Instrument Risk",handling,1,1,0
Y,S,5480,"Wrong ??test?? media type used","Inappropriate test media","Instrument Risk",handling,1,0,0
Y,S,5490,"Isolate was not pure","Isolate not pure","Instrument Risk",handling,1,0,0
Y,S,5500,"Inadequate inoculation suspension","Inadequate inoculation suspension","Instrument Risk",handling,1,0,0
Y,S,5510,"Inappropriate species used on the test system","Inappropriate species tested","Instrument Risk",handling,1,0,0
Y,R,3880,"Improper QC Organism storage and preparation","Improper storage of QC organisms","Instrument Risk",misuse,1,0,0
Y,R,3890,"QC Organism failure error","QC Organism failure error","Instrument Risk",misuse,1,0,0
Y,P,5520,"Failure to perform confirmatory tests for strains of Klebsiella spp. and E. coli when using VITEK® 2 ESBL Test ","Failure to perform confirmatory tests ","Instrument Risk",misuse,0,1,0
Y,R,5530,"??Consumable?? desiccant is missing","Consumable desiccant missing","Instrument Risk",handling,1,0,0
Y,P,5540,"Powdered gloves used when using instrument","Use of powdered gloves","Instrument Risk",handling,1,0,0
Y,P,5550,"Glass test tubes used on instrument","Glass tube interference","Instrument Risk",misuse,0,1,0
Y,P,5560,"The age of the suspension, before loading the instrument for AST testing, was greater than one hour for VITEK® 2 60 or VITEK® 2 XL, and greater than 30 minutes for the VITEK® 2 Compact","Delay in loading suspension ","Instrument Risk",misuse,0,1,0
Y,P,5570,"Direct clinical specimen or other sources containing mixed flora was tested","Testing samples with mixed flora","Instrument Risk",handling,1,0,0
Y,P,5580,"Failure to test with alternative method with a resistant organism, as listed in Instructions for Use","Not using alternative method ","Instrument Risk",misuse,0,1,0
Y,P,5581,"Failure to enter barcodes into Flex Panel Entry program prior to first use of Susceptibility Card","Failure to enter Susceptibility Card barcodes","Instrument Risk",misuse,0,1,0
Y,T,7530,"??Test?? with ??instrument?? is not performed in a Class III biosafety cabinet","Testing not performed in hood","Instrument Risk",handling,0,1,0
Y,T,7540,"Class III biosafety cabinet is not certified before use in patient testing ","Hood not certified","Instrument Risk",handling,0,1,0
Y,R,5600,"Open tubes are stored for more than two weeks","Use of expired tubes","Instrument Risk",misuse,0,1,0
Y,R,5610,"Failure to equilibrate Single Packs to room temperature prior to opening (approx. 15 minutes if stored at +4°C or approx. 30 minutes if stored at -20°C)","Failure to equilibrate packs to RT","Instrument Risk",misuse,0,1,0
Y,R,5620,"??Test?? reagent components are damaged or not properly maintained  until just prior to use","Improper maintenance of reagent components","Instrument Risk",misuse,0,1,0
Y,R,5630,"Individual spots on target slides used more than once","Multiple use of individual spots on slide","Instrument Risk",misuse,0,1,0
Y,R,5640,"Failure to check cardboard shipping container for reagent leaks","Damage to reagents during shipping","Instrument Risk",misuse,0,1,0
Y,R,5650,"Reuse of single use strips","Reuse of single use strips","Instrument Risk",misuse,0,1,0
Y,P,5660,"Clinically irrelevant organisms tested","Clinically irrelevant organisms tested","Instrument Risk",misuse,1,0,0
Y,P,5670,"Failure to consider additional species in select patient types (e.g., immunosuppressed)","Failure to consider additional species","Instrument Risk",misuse,1,0,0
Y,P,5680,"Physician requests for testing of isolates that are not clinically relevant, leading to inappropriate and misleading results","Testing of inappropriate isolates","Instrument Risk",misuse,1,0,0
Y,P,5690,"Use incorrect panel/card for select organism","Use of incorrect panel/card","Instrument Risk",misuse,1,0,0
Y,P,5700,"Report comments missing or inappropriate for the culture","Missing or inappropriate comments","Instrument Risk",misuse,1,0,0
Y,P,5710,"Delay in transmission of results","Delay in transmission of results","Instrument Risk",misuse,1,0,0
Y,P,5720,"Results delayed beyond that expected for organism type","Delay in reporting results","Instrument Risk",misuse,1,0,0
Y,P,5730,"QC out of control due to improper QC strain maintenance","Improper QC strain maintenance","Instrument Risk",misuse,1,0,0
Y,P,5740,"Use of contaminated AST media","Use of contaminated AST media","Instrument Risk",misuse,1,0,0
Y,P,5750,"Use of nonviable colonies","Use of nonviable colonies","Instrument Risk",misuse,1,0,0
Y,P,5760,"Over inoculation or under inoculation","Over/under inoculation","Instrument Risk",misuse,1,0,0
Y,P,5770,"Instrument pipettor malfunction","Instrument pipettor malfunction","Instrument Risk",misuse,1,0,0
Y,P,5780,"Removing disk and/or media from container prior to room temperature equilibration ","Insufficient RT equil. of container","Instrument Risk",misuse,1,0,0
Y,P,5790,"Improper streaking of plate leading to lawn of growth that is not confluent","Improper streaking of plate","Instrument Risk",misuse,0,1,0
Y,T,5800,"Disks relocated after placing on plate","Disks relocated after placing ","Instrument Risk",misuse,0,1,0
Y,T,5810,"Disks placed too close together so that zones are overlapping","Disks too close","Instrument Risk",misuse,0,1,0
Y,T,5820,"AST plates not incubated under the appropriate atmospheric conditions based on the organism","Improper atmosph.incub. AST plates","Instrument Risk",misuse,0,1,0
Y,T,5830,"AST plates not incubated for the recommended time range based on the organism","Inappropriate incubation of AST plates","Instrument Risk",misuse,0,1,0
Y,T,5840,"Failure to appropriately interpret zones of inhibition","Inappropriate interpretation of inhib. zones ","Instrument Risk",misuse,0,1,0
Y,T,5850,"Incorrect interpretation of zone of inhibition leading to erroneous results","Incorrect interpretation of inhibit. zones","Instrument Risk",misuse,0,1,0
Y,T,5860,"Computer entry errors when describing interpretations/zone size values","Computer entry errors","Instrument Risk",misuse,0,1,0
Y,T,5870,"Failure to capture and track complaints/suggestions regarding delayed results and/or potential erroneous results","Failure track complaints/suggestions","Instrument Risk",misuse,0,1,0
Y,T,5880,"Media contamination or physical defects","Media contam./physical defects","Instrument Risk",misuse,1,0,0
Y,T,5890,"Failure to inoculate/streak correctly (i.e., no isolated colonies) or incubate in a timely manner","Improper inoculation/streaking ","Instrument Risk",misuse,1,0,0
Y,T,5900,"??Test?? media is contaminated","Test media is contaminated","Instrument Risk",misuse,1,0,0
Y,T,5910,"??Test?? media unexpectedly fails to support the growth of a microorganism  ","Media doesn't support growth","Instrument Risk",misuse,1,0,0
Y,T,5920,"Selective ??test?? media unexpectedly fails to inhibit expected microorganisms","Selective media fails to inhibit microorganism","Instrument Risk",misuse,1,0,0
Y,T,5930,"Poor ??test?? media quality","Poor test  media quality","Instrument Risk",misuse,0,1,0
Y,T,5940,"Sample is contaminated when collected","Sample is contaminated","Instrument Risk",misuse,1,0,0
Y,T,5950,"Amplicon contamination","Amplicon contamination","Instrument Risk",misuse,1,0,0
Y,T,5960,"Failure to confirm pediatric Strep A antigen negative results","Failure to confirm neg results ","Instrument Risk",misuse,1,0,0
